College Name,Branch,OPEN neutal,OPEN female,OPEN(PWD),EWS neutral,EWS female,EWS(PWD),OBC neutral,OBC female,OBC(PWD),SC neutal,SC female,SC(PWD),ST neutral,ST female,ST(PWD)
Indian Institute of Technology Delhi,Engineering Physics,2449,7030,112P,715,2137,,1915,4096,,1104,2766,,746,1016,
Indian Institute of Technology Delhi,Materials Engineering,3787,9398,386P,886,2233,,2455,6191,,1408,2545,,813,1341,
Indian Institute of Technology Delhi,Mathematics and Computing,332,1240,25,74,417,12,213,757,11,161,470,3,97,55,
Indian Institute of Technology Delhi,Mechanical Engineering,1774,5487,35,387,1114,11P,1010,3346,41,500,1329,,310,408,
Indian Institute of Technology Delhi,Production and Industrial Engineering,3089,8448,,722,1734,,2172,5945,,1335,2391,,810,1159,
Indian Institute of Technology Delhi,Textile Technology,6028,11415,,1139,2605,,3184,7737,,1780,2889,,991,1538,
Indian Institute of Technology Indore,Chemical Engineering,7519,15687,164P,1321,2385,,3468,6965,,1871,2786,,922,1642,
Indian Institute of Technology Indore,Civil Engineering,9410,17255,,1458,2775,,3932,7272,,1866,3731,,631,1363,
Indian Institute of Technology Indore,Computer Science and Engineering,1354,4069,57,212,716,22,611,1468,16,329,728,12P,168,154,
Indian Institute of Technology Indore,Electrical Engineering,3642,6953,270P,619,1579,38P,1637,4047,,997,1704,,467,656,1
Indian Institute of Technology Indore,Engineering Physics,6814,15115,,1402,,,3618,8144,,2070,4048,,1173,,
Indian Institute of Technology Indore,Mathematics and Computing,
Indian Institute of Technology Indore,Mechanical Engineering,
Indian Institute of Technology Indore,Metallurgical Engineering and Materials Science,
Indian Institute of Technology Indore,Space Sciences and Engineering,
Indian Institute of Technology Kharagpur,Aerospace Engineering,
Indian Institute of Technology Kharagpur,Agricultural and Food Engineering,
Indian Institute of Technology Kharagpur,Applied Geology,
Indian Institute of Technology Kharagpur,Artificial Intelligence,
Indian Institute of Technology Kharagpur,Biotechnology and Biochemical Engineering,
Indian Institute of Technology Kharagpur,Chemical Engineering,
Indian Institute of Technology Kharagpur,Chemistry,
Indian Institute of Technology Kharagpur,Civil Engineering,
Indian Institute of Technology Kharagpur,Computer Science and Engineering,
Indian Institute of Technology Kharagpur,Economics,
Indian Institute of Technology Kharagpur,Electrical Engineering,
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering,
Indian Institute of Technology Kharagpur,Exploration Geophysics,
Indian Institute of Technology Kharagpur,Industrial and Systems Engineering,
Indian Institute of Technology Kharagpur,Instrumentation Engineering,
Indian Institute of Technology Kharagpur,Manufacturing Science and Engineering,
Indian Institute of Technology Kharagpur,Mathematics and Computing,
Indian Institute of Technology Kharagpur,Mechanical Engineering,
Indian Institute of Technology Kharagpur,Metallurgical and Materials Engineering,
Indian Institute of Technology Kharagpur,Mining Engineering,
Indian Institute of Technology Kharagpur,Ocean Engineering and Naval Architecture,
Indian Institute of Technology Kharagpur,Physics ,
Indian Institute of Technology Hyderabad,Artificial Intelligence,
Indian Institute of Technology Hyderabad,Biomedical Engineering,
Indian Institute of Technology Hyderabad,Biotechnology and Bioinformatics,
Indian Institute of Technology Hyderabad,Chemical Engineering,
Indian Institute of Technology Hyderabad,Civil Engineering,
Indian Institute of Technology Hyderabad,Computational Engineering,
Indian Institute of Technology Hyderabad,Computer Science and Engineering,
Indian Institute of Technology Hyderabad,Electrical Engineering,
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology),
Indian Institute of Technology Hyderabad,Engineering Physics,
Indian Institute of Technology Hyderabad,Engineering Science,
Indian Institute of Technology Hyderabad,Industrial Chemistry,
Indian Institute of Technology Hyderabad,Materials Science and Metallurgical Engineering,
Indian Institute of Technology Hyderabad,Mathematics and Computing,
Indian Institute of Technology Hyderabad,Mechanical Engineering,
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science,
Indian Institute of Technology Jodhpur,Bio Engineering,
Indian Institute of Technology Jodhpur,Chemical Engineering,







