College Name,Branch Name,Cutoff Rank,City,OPEN Percentile,SC Percentile,ST Percentile,NT1 Percentile,OBC Percentile,EWS Percentile,TWFS Percentile
Srinath College of Pharmacy,Pharmacy,16819,Aurangabad,79.35,63.29,17.47,72.93,77.82,84.98,92.98
Balwantrao Chavan College of Pharmacy Naigaon(BZ),Pharmacy,22305,Nanded,73.02,64.46,26.15,58.26,42.51,76.66,84.80
Shri. Goraksha College of Pharmacy & Research Centre,Pharmacy,31611,Aurangabad,59.64,14.93,12.86,32.60,38.27,70.51,77.84
Shri. Sai Janvikas Pratishthan's OJAS College of Pharmacy,Pharmacy,28445,Jalna,64.51,44.92,1.43,60.13,52.60,71.10,72.93
GAJANAN MAHARAJ COLLEGE OF PHARMACY NIPANI,Pharmacy,38376,Aurangabad,45.75,26.89,4.60,50.61,40.81,59.64,77.37
Tatyaraoji More College of Pharmacy,Pharmacy,41359,Umerga,37.81,7.73,22.40,12.08,27.10,58.11,63.29
Institute of Pharmacy,Pharmacy,33593,Badnapur,56.39,16.52,9.50,19.39,29.64,73.06,83.56
MDA School of Pharmacy,Pharmacy,39649,Kolpa,42.51,20.19,0.16,34.52,26.15,47.41,77.49
Raosaheb Patil Danve College Of Pharmacy,Pharmacy,41142,Badnapur,38.27,35.72,32.46,37.99,42.29,58.80,69.35
Mangaldeep Institute Of Pharmacy,Pharmacy,35771,Aurangabad,52.43,7.20,7.34,45.75,39.43,62.23,75.66
Nbs Institute Of Pharmacy,Pharmacy,42736,Ausa,32.60,17.59,5.88,23.46,11.26,54.40,81.86
JGVVS's Suyash College Of Pharmacy Warud,Pharmacy,47552,Jafrabad,54.62,15.54,20.19,52.24,45.75,30.65,46.45
Shri Sambhaji College Of Pharmacy,Pharmacy,16435,Nanded,79.97,69.35,31.35,77.60,74.59,83.38,89.81
Rashtriya College of Pharmacy,Pharmacy,40524,Kannad,40.42,11.09,14.77,30.35,15.64,52.43,66.88
Jay Bharat College of Pharmacy Dapka, Taluka Nilanga,Pharmacy,39827,Latur,42.44,4.32,1.26,5.88,34.41,45.75,53.56
Saraswati Institute of Pharmacy Pangri,Pharmacy,30806,Nanded,61.25,48.04,18.89,34.41,48.04,64.46,73.02
Allam Prabhu College of Pharmacy,Pharmacy,37682,Latur,47.74,27.61,18.97,42.65,32.60,57.90,79.33
Government College of Pharmacy,Pharmacy,1946,Ratnagiri,96.57,93.69,90.16,96.60,98.03,98.01,98.56
Bombay College of Pharmacy Santacruz(E),Pharmacy,150,Mumbai,99.61,97.81,93.65,98.77,99.52,99.11,99.82
C U Shah College of Pharmacy for Women,Pharmacy,648,Mumbai,98.61,96.05,90.87,93.95,97.90,98.73,99.01
Institute of Chemical Technology,Pharmacy,49,Mumbai,99.84,98.99,98.96,99.09,99.75,99.87,99.94
Bharati Vidyapeeth College of Pharmacy Belapur,Pharmacy,1370,Mumbai,97.41,95.63,89.26,89.42,96.39,96.39,98.33
Mumbai Educational  Trust's Institute of Pharmacy,Pharmacy,909,Mumbai,98.14,96.13,78.64,91.79,96.69,96.78,98.71
NCRD's Sterling Institute of Pharmacy,Pharmacy,2078,Mumbai,96.36,94.45,82.46,90.45,94.43,94.45,98.06
Yadavrao Tasgaonkar Institute of Pharmacy Chandhai,Pharmacy,13154,Tal-Karjat,83.49,77.29,64.31,78.93,78.41,71.80,89.26
Govindrao Nikam College Of Pharmacy,Pharmacy,12649,Sawarde,84.05,73.02,3.18,82.86,79.92,81.00,87.36
Gahlot Institute of Pharmacy Koparkhairane,3014,Mumbai,95.12,91.51,78.02,92.87,91.95,93.23,98.06
Konkan Gyanpeeth Rahul Dharkar College of Pharmacy & Research Institute,Pharmacy,10823,Raigad,86.11,84.40,36.01,83.76,81.30,76.44,91.05
Prabhodhan Shikshan Prasarak Sanshta's Indira Institute of Pharmacy,Pharmacy,13096,Sadavali,83.52,67.55,58.54,75.22,77.37,78.01,87.06
Vighnarta Trust, Shivajirao Jondhale College of Pharmacy,Pharmacy,8859,Shahapur,88.17,86.17,82.05,82.05,86.17,82.59,92.81
Shri Rishikesh Shikshan Prasarak Mandal D.D.Vispute College of Pharmacy & Research Center,Pharmacy,7128,Panvel,90.26,83.49,49.34,84.41,87.69,85.43,90.84
Viva Institute of Pharmacy,Pharmacy,3559,Virar,94.46,88.65,73.02,87.05,92.39,87.36,94.67
Yashwantrao Bhonsale College of Pharmacy,Pharmacy,16589,Sawantwadi,79.79,36.52,31.29,54.40,72.93,81.10,93.75
St.Wilfred's Institute of Pharmacy,Pharmacy,7263,Panvel,90.06,84.85,60.06,89.18,86.17,82.86,92.22
Ideal Institute of Pharmacy,Pharmacy,9297,Wada,87.83,69.30,70.19,72.93,80.34,58.68,91.28
Shri Angarsiddha Shikshan Prasarak Mandal's ASPM College of Pharmacy,Pharmacy,39676,Sangulwadi,42.51,18.26,12.13,33.74,48.81,50.94,74.91
Siddhis Institute Of Pharmacy,Pharmacy,25509,Nandgaon,69.30,48.81,26.71,26.23,55.91,44.92,75.25
Raigad College Of Pharmacy,Pharmacy,27207,Mohopre,66.82,48.05,22.40,50.61,52.56,62.23,71.73
Shri. Pandit Baburao Chaughule College Of Pharmacy,Pharmacy,13543,Rahanal,83.07,45.75,40.33,64.09,69.10,14.01,86.17
B.K. Patil Institute of Pharmacy,Pharmacy,9792,Panvel,87.17,80.39,37.37,71.58,83.52,77.60,91.93
